                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 4.6004,                 3.7486,                 2.9783,                0.23178,                0.14606,                0.11207,                0.04954,                   5.14,                 4.1381,                 3.4146,             0.00070962,             0.00070962,             0.00070962
                    133,                 4.4944,                 3.7835,                 3.1007,                0.19501,                0.14959,                0.11725,                0.04999,                 5.0679,                 4.2103,                 3.3824,              0.0007055,              0.0007055,              0.0007055
                    134,                 4.5963,                 3.7106,                 3.0976,                0.17164,                0.13392,                0.10873,                0.04666,                 5.3124,                 4.1593,                 3.4879,             0.00070137,             0.00070137,             0.00070137
                    135,                 4.4249,                 3.7184,                 3.0381,                0.21821,                0.13671,                0.11773,                0.05257,                 5.2918,                 4.1275,                 3.5001,             0.00069725,             0.00069725,             0.00069725
                    136,                 4.2611,                 3.4534,                 2.8268,                0.19099,                0.13895,                0.11865,                0.05356,                 5.2445,                  4.207,                 3.4511,             0.00069313,             0.00069313,             0.00069313
                    137,                 4.4954,                 3.5862,                 2.9745,                0.19631,                0.13698,                 0.1152,                0.05206,                 5.2109,                 4.4209,                 3.4715,               0.000689,               0.000689,               0.000689
                    138,                 4.2916,                 3.5379,                 2.9575,                0.18791,                0.14846,                0.10346,                0.04153,                 5.3197,                 4.5319,                 3.5707,             0.00068488,             0.00068488,             0.00068488
                    139,                 4.4242,                 3.4677,                 3.0269,                0.16062,                0.12382,                0.10277,                0.03955,                 5.2926,                 4.4777,                 3.5318,             0.00068075,             0.00068075,             0.00068075
                    140,                 4.5219,                 3.5091,                 2.9249,                0.15748,                0.12832,                0.09794,                0.03926,                 5.1625,                 4.4027,                 3.4716,             0.00067663,             0.00067663,             0.00067663
                    141,                 4.4095,                 3.5396,                  2.898,                0.14203,                0.16824,                0.10233,                0.04004,                 5.1244,                 4.3295,                 3.4399,              0.0006725,              0.0006725,              0.0006725
                    142,                 4.3953,                 3.4322,                 2.9332,                0.18071,                0.14953,                0.10709,                0.04562,                 5.1016,                 4.2052,                   3.44,             0.00066838,             0.00066838,             0.00066838
                    143,                 4.5533,                 3.6936,                 3.1364,                0.20905,                0.16842,                0.12655,                 0.0521,                  5.045,                 4.1148,                 3.3558,             0.00066425,             0.00066425,             0.00066425
                    144,                 4.3922,                  3.391,                 2.8495,                0.21597,                0.17805,                0.13736,                0.05934,                 5.0867,                 4.1108,                 3.3607,             0.00066013,             0.00066013,             0.00066013
                    145,                 4.3921,                 3.5326,                 2.8183,                0.25398,                 0.1508,                0.14331,                0.06169,                  5.231,                 4.2203,                 3.4865,               0.000656,               0.000656,               0.000656
                    146,                 4.3664,                  3.614,                 3.0277,                0.19278,                0.14934,                0.11734,                0.04942,                 5.1082,                 4.3292,                 3.4491,             0.00065188,             0.00065188,             0.00065188
